Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.010000   -inf   -inf    inf    nan   nan
0.010723   -inf   -inf    inf    nan   nan
0.011498   -inf   -inf    inf    nan   nan
0.012328   -inf   -inf    inf    nan   nan
0.013219   -inf   -inf    inf    nan   nan
0.014175   -inf   -inf    inf    nan   nan
0.015199   -inf   -inf    inf    nan   nan
0.016298   -inf   -inf    inf    nan   nan
0.017475   -inf   -inf    inf    nan   nan
0.018738   -inf   -inf    inf    nan   nan
0.020092   -inf   -inf    inf    nan   nan
0.021544   -inf   -inf    inf    nan   nan
0.023101   -inf   -inf    inf    nan   nan
0.024771   -inf   -inf    inf    nan   nan
0.026561   -inf   -inf    inf    nan   nan
0.028480   -inf   -inf    inf    nan   nan
0.030539   -inf   -inf    inf    nan   nan
0.032745   -inf   -inf    inf    nan   nan
0.035112   -inf   -inf    inf    nan   nan
0.037649   -inf   -inf    inf    nan   nan
0.040370   -inf   -inf    inf    nan   nan
0.043288   -inf   -inf    inf    nan   nan
0.046416   -30.406936   -9947247243927507704989346931514284401052303367505580038616660851537712428088526423087013648176069043656885972314246255965008484420644793286442815216857669577926128415036122003172449984598556796424565586776124825530556910463207172909042548416402831214712942672330193269133920732006318080.000000    309133577080455533709173333750369554930810390880218281329510024870264410562156836354257912768721499175409874923317854921836447442368752332103453135065266878947066270166502615620801090543041856745679620451617031646495251870850245625903057133156905723785080762025012938101015451525141495808.000000    0.686091   -214306945326410056718947378728853679545632976962623700582145147201223732632932246359982693054651949529717638930564957426027917722126609329076322005803695545947587421612732408927552740074964863671841670905383308603566786516315500859021958122273278210037443669770698410135744623883780620288.000000
0.049770   -30.358011   -248916705246182925659115754856357712716939231105153247114204413186777287990106180230238674731915457634570343989580325738478991410417482054649961851907698890319235220049881079276815788506454225075788900830788079406051175373809529537418637816620188592643487336528609280.000000    7735182251283688078049289433421530385364502041368480276843389915519046079301599958274073204985892481024322482246758290408218239279713517144082523040476503867852477727675677323496278960347181964910725621671667269396114621259592813404950636934453482223057818285783384064.000000    0.657886   -5001316590703768269894911380219886702703741193743407695745108749193660989188439357762179873335598523490812590323344215747372168780272729105901792632086601904761687672363524891911998522295290483558020593342405936949713602522265279567696025103407907462201993959481278464.000000
0.053367   -30.305735   -130916855153128562241368809789947377612672025672713076589780370916210344859136118522739105770883019874398625926876544247060954280591546794979785175668331823637759003031104442733838847255997604794008096128910473418127261838084054017745473914793885696.000000    4068023765921671254401201501504188191406829696036905316363179131702970925883677441963383587804274834858522506721035778408579177665103062095876152860068646534008497411865331733393883893789051137967034714329068967818749152160041978178075808102627672064.000000    0.631799   -2453142841320169281065865606172819462961729116372088202823943557956373312483090508454959028795865207519727193660673045990844920466480325104435742755009556860575881527715841822431930984929306923736977162097527401962531049523092174166098855974037094400.000000
0.057224   -30.252409   -1231848408114449369380673080740755611858149998432179074004401885049686013878465346018513666051281804075826359879341879260248495225830122586109375055959433228831352300459007652710500320448425086005408075958841214435418749963872501760.000000    38273493345384980746030447077908920831526946324986002872464520282390645746470411855295719677961114659188033432404506334900884004404106922870629683485876211852534637998558263587300597205323983153836402849629902787774380492917779202048.000000    0.613138   -21526900776842185290658843266560616477620348282077834131507946216739012873397849233898381912881986398534521758426216045863614764256379241533063698712420454146052562485704411341471536208829725810977459600530951123171693072824475320320.000000
0.061359   -30.192198   -154956858111898072799055888653924315058400049829072163113773555355464693760722250961739077082696544035866664512234240413308010582447790186845066883408749507532380909125549921125243971130130058800319094015339131830272.000000    4814198731192631945946765644473642469196080446211745976150782072691724450116740775279813049587369713838136935630652716781118456936334048192455248134274815819588218072831015107661940766800902439222707151577526803890176.000000    0.586942   -2525410688380544821019349624638897936640156422976093686752466055433577418231906811336809989089262993499249621720932753414596056248515102934457513860419797186108871933801753800447073990061376520999649177840181164638208.000000
0.065793   -30.129193   -235377386727586004387913117189061579232151539163782952920072794994859923929579763867908759737603277267965869257698418815114941288535353300387790216677780648539998190736070036865215409827702047479169024.000000    7312096716709981649180794854443713471181620719386607002260453848116010457241077833322610113181871803608146486478819546968352233489943156718869574941176131658534995122134361494534213833126943996109651968.000000    0.562535   -3577526987637511910190918912884930939421541805125035231395226367489062999340911032537348048093575880469230640750930008901320057375821266820830145191253853111289697506653572325907385959436258894399143936.000000
0.070548   -30.062791   -3623588127381415580484635166971167110825218810129296701837006296342432724779014570972338836215689003186643255082439011723618877480966369556247868590394618960187138380050107713006312882176.000000    112557440142480762449799434238060227695150884468851724702239461947262393996183710073020832525255128931267209590252302955754403923301628052908160679319288510665438775824189405642778684162048.000000    0.538764   -51363425476514068334448919835022771690055475368154069147014861980430087536356312370531323321004235543112642584236617810731751420569353309402630661740355896930519476914602058241772275892224.000000
0.075646   -29.988494   -456743537894839176362493895882917145479590548264269907947222268294400895336098006694903639201642835739282641408710976420091564836398646744277090339963880427977997941315993600.000000    14186622296938402842677927054237090392918202230390537167529466819840069701475936228091781738071369532027966498837032566582587864115032630291309733739706728062769857878588129280.000000    0.519109   -6037880770391328411861049288408199688902207497010315367646969092380675961388334365595336104669398034476146146431111580818432448343240552400376193727964051549709445838927822848.000000
0.081113   -29.911943   -442844154508282048069186404053598071175731203485320184167253469338404947112497017743935309389705044379559673090252811308802902671886131158566291597392339535921152.000000    13753596717397873102171486421053843516411920001101128686598481262753195065710103205677229631041708176387183199335748436659328779674315114050422660139239807295422464.000000    0.497523   -5459589719665072380686109960031543042732624152268743475016536648079802786824574762664993590884912207433333896232501254380153675008583037182426918280771613726081024.000000
0.086975   -29.832180   -2844899076245464413108919596097675381601600584697123327916610557520877956445172026682016348445352256793895480077587164242052549478516030373368879382528.000000    88344885153356903814104028971900700430046177779699001790358152308000511027376218104770157505421722729062239101921767137039102469769679619196600889376768.000000    0.475092   -32709426141137412787705583739027401440479414218265274612711609058577902154403128337950354730990222186883960888903460024251653522433074171612467401064448.000000
0.093260   -29.740779   -97468229901016639794036872694780354404463902956561788153987628249296308080263034975416068967979207424158708697341214182839229217887414648832.000000    3026544340369536953484988103449381213174632140355327279138756813743190067004518036818424445000943394282334543543532665735722727934330169982976.000000    0.462191   -1045119881102254971163596576778291012418613022726832747257103220200462522000545935439735451748039415952260694874965360812500772686896646062080.000000
